Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206,172.0,-119.5,-90.0,top
C10,100nF,C_0805,136.5,-111.95,90.0,top
C2,10uF,C_1206,185.0,-109.0,90.0,top
C3,100nF,C_0805,182.5,-109.5,90.0,top
C4,100nF,C_0805,169.5,-119.0,-90.0,top
C5,10uF,C_1206,172.0,-114.5,-90.0,top
C6,100nF,C_0805,169.5,-115.0,-90.0,top
C7,10uF,C_1206,185.5,-99.0,90.0,top
C8,100nF,C_0805,188.0,-99.0,90.0,top
C9,10uF,C_1206,139.0,-111.5,90.0,top
J1,B5B-XH-A(LF)(SN),JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,191.5,-116.5,-90.0,top
J2,B5B-XH-A(LF)(SN),JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,129.0,-116.5,90.0,top
J3,~,PinHeader_1x03_P2.54mm_Vertical,191.0,-100.5,180.0,top
J4,Barrel_Jack_Switch,DC-005,182.725,-116.5,90.0,top
J5,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,171.73,-124.5,-90.0,top
Q2,BSS138,Q_SOT-23,173.06,-98.5,0.0,top
R1,10kΩ,R_0805,169.5,-98.5,-90.0,top
R2,10kΩ,R_0805,177.5,-98.0,180.0,top
U1,~,esp32_c3_oled,156.25,-114.11,90.0,top
U2,ULN2003ADR,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,139.24,-119.59,90.0,top
U4,ULN2003ADR,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,174.74,-106.83,-90.0,top
